#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E135
#Date Time: 2023-11-01 14:39:35.674
#Sample rate: 1600Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.83125 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Sine
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Enabled
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s),Channel 1 (V),Channel 2 (V)
-2.4596875,4.751277345418663,2.538145414367182
-2.4590625,4.751277345418663,2.527099481387062
-2.4584375,4.751277345418663,2.516053548406933
-2.4578125,4.751277345418663,2.505007615426809
-2.4571875,4.751277345418663,2.497643660106726
-2.4565625,4.751277345418663,2.486597727126598
-2.4559375,4.751277345418663,2.479233771806519
-2.4553125,4.751277345418663,2.468187838826394
-2.4546875,4.751277345418663,2.460823883506315
-2.4540625,4.751277345418663,2.449777950526184
-2.4534375,4.751277345418663,2.442413995206104
-2.4528125,4.751277345418663,2.43136806222598
-2.4521875,4.751277345418663,2.420322129245861
-2.4515625,4.751277345418663,2.412958173925773
-2.4509375,4.751277345418663,2.401912240945649
-2.4503125,4.732943082902973,2.390866307965524
-2.4496875,4.729276230399835,2.379820374985397
-2.4490625,4.729276230399835,2.372456419665317
-2.4484375,4.729276230399835,2.361410486685193
-2.4478125,4.729276230399835,2.354046531365114
-2.4471875,4.729276230399835,2.343000598384986
-2.4465625,4.729276230399835,2.331954665404861
-2.4459375,4.729276230399835,2.320908732424737
-2.4453125,4.729276230399835,2.313544777104649
-2.4446875,4.729276230399835,2.30249884412453
-2.4440625,4.729276230399835,2.291452911144405
-2.4434375,4.725609377896698,2.284088955824326
-2.4428125,4.725609377896697,2.273043022844198
-2.4421875,4.729276230399835,2.261997089864074
-2.4415625,4.729276230399835,2.254633134543991
-2.4409375,4.729276230399835,2.243587201563863
-2.4403125,4.729276230399835,2.236223246243784
-2.4396875,4.729276230399835,2.225177313263659
-2.4390625,4.729276230399835,2.21781335794358
-2.4384375,4.729276230399835,2.206767424963447
-2.4378125,4.729276230399835,2.195721491983328
-2.4371875,4.729276230399835,2.188357536663245
-2.4365625,4.729276230399835,2.177311603683126
-2.4359375,4.729276230399835,2.166265670702996
-2.4353125,4.729276230399835,2.155219737722872
-2.4346875,4.729276230399835,2.14785578240279
-2.4340625,4.729276230399835,2.13680984942266
-2.4334375,4.729276230399835,2.125763916442541
-2.4328125,4.729276230399835,2.118399961122458
-2.4321875,4.729276230399835,2.107354028142338
-2.4315625,4.729276230399835,2.096308095162209
-2.4309375,4.729276230399835,2.085262162182085
-2.4303125,4.729276230399835,2.077898206862002
-2.4296875,4.729276230399835,2.066852273881873
-2.4290625,4.729276230399835,2.055806340901754
-2.4284375,4.729276230399835,2.04844238558167
-2.4278125,4.729276230399835,2.037396452601551
-2.4271875,4.729276230399835,2.030032497281463
-2.4265625,4.729276230399835,2.018986564301339
-2.4259375,4.729276230399835,2.011622608981256
-2.4253125,4.729276230399835,2.000576676001128
-2.4246875,4.729276230399835,1.993212720681049
-2.4240625,4.729276230399835,1.982166787700924
-2.4234375,4.725609377896698,1.971120854720805
-2.4228125,4.725609377896698,1.963756899400712
-2.4221875,4.729276230399835,1.952710966420593
-2.4215625,4.729276230399835,1.94534701110051
-2.4209375,4.729276230399835,1.934301078120391
-2.4203125,4.729276230399835,1.923255145140261
-2.4196875,4.729276230399835,1.912209212160137
-2.4190625,4.729276230399835,1.904845256840054
-2.4184375,4.729276230399835,1.893799323859926
-2.4178125,4.729276230399835,1.886435368539847
-2.4171875,4.729276230399835,1.875389435559723
-2.4165625,4.729276230399835,1.868025480239643
-2.4159375,4.729276230399835,1.856979547259515
-2.4153125,4.729276230399835,1.849615591939433
-2.4146875,4.729276230399835,1.838569658959308
-2.4140625,4.729276230399835,1.827523725979179
-2.4134375,4.729276230399835,1.81647779299906
-2.4128125,4.729276230399835,1.809113837678977
-2.4121875,4.729276230399835,1.801749882358897
-2.4115625,4.729276230399835,1.79070394937877
-2.4109375,4.729276230399835,1.779658016398645
-2.4103125,4.729276230399835,1.772294061078562
-2.4096875,4.729276230399835,1.764930105758474
-2.4090625,4.729276230399835,1.753884172778355
-2.4084375,4.729276230399835,1.742838239798231
-2.4078125,4.729276230399835,1.735474284478151
-2.4071875,4.729276230399835,1.72442835149802
-2.4065625,4.729276230399835,1.717064396177941
