#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2E135
#Date Time: 2023-11-01 14:00:02.550
#Sample rate: 4000Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 1.83125 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °
#Wavegen Channel 2: Running
#Mode: Simple
#Type: DC
#Offset: 5 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.923875,4.839281805493975,3.016802510172569
-0.9236249999999999,4.839281805493975,3.020484487832612
-0.9233750000000001,4.839281805493975,3.02416646549265
-0.923125,4.842948657997113,3.027848443152693
-0.9228749999999999,4.842948657997112,3.031530420812738
-0.922625,4.839281805493975,3.038894376132817
-0.9223749999999999,4.842948657997113,3.038894376132817
-0.9221250000000001,4.842948657997113,3.046258331452897
-0.921875,4.842948657997113,3.049940309112942
-0.9216249999999999,4.842948657997113,3.053622286772985
-0.9213750000000001,4.842948657997113,3.057304264433023
-0.921125,4.842948657997113,3.060986242093066
-0.9208749999999999,4.842948657997113,3.064668219753109
-0.920625,4.842948657997113,3.068350197413149
-0.9203749999999999,4.842948657997113,3.07203217507319
-0.9201250000000001,4.842948657997113,3.07571415273323
-0.919875,4.842948657997113,3.079396130393273
-0.9196249999999999,4.842948657997113,3.083078108053317
-0.9193750000000001,4.842948657997113,3.086760085713354
-0.919125,4.842948657997113,3.090442063373398
-0.9188749999999999,4.842948657997112,3.094124041033441
-0.918625,4.839281805493975,3.09780601869348
-0.9183749999999999,4.842948657997113,3.101487996353522
-0.9181250000000001,4.842948657997113,3.105169974013561
-0.917875,4.842948657997113,3.108851951673605
-0.9176249999999999,4.842948657997113,3.112533929333648
-0.9173750000000001,4.842948657997113,3.116215906993686
-0.917125,4.842948657997113,3.119897884653729
-0.9168749999999999,4.842948657997113,3.123579862313772
-0.916625,4.842948657997113,3.127261839973812
-0.9163749999999999,4.842948657997113,3.130943817633853
-0.9161250000000001,4.839281805493977,3.134625795293893
-0.915875,4.842948657997113,3.141989750613978
-0.9156249999999999,4.842948657997112,3.145671728274021
-0.915375,4.839281805493977,3.149353705934059
-0.915125,4.839281805493975,3.153035683594102
-0.9148749999999999,4.839281805493975,3.153035683594105
-0.914625,4.839281805493975,3.160399638914185
-0.9143749999999999,4.842948657997113,3.164081616574226
-0.9141250000000001,4.842948657997113,3.167763594234266
-0.913875,4.842948657997113,3.171445571894309
-0.9136249999999999,4.839281805493977,3.175127549554353
-0.913375,4.842948657997112,3.17880952721439
-0.913125,4.842948657997113,3.182491504874434
-0.9128749999999999,4.839281805493977,3.186173482534477
-0.912625,4.842948657997113,3.189855460194516
-0.9123749999999999,4.842948657997113,3.193537437854558
-0.9121250000000001,4.842948657997113,3.197219415514597
-0.911875,4.842948657997113,3.200901393174641
-0.9116249999999999,4.839281805493977,3.204583370834684
-0.911375,4.842948657997112,3.208265348494722
-0.911125,4.839281805493975,3.211947326154765
-0.9108749999999999,4.839281805493977,3.215629303814808
-0.910625,4.842948657997113,3.219311281474848
-0.9103749999999999,4.842948657997113,3.222993259134889
-0.9101250000000001,4.842948657997113,3.226675236794929
-0.909875,4.842948657997113,3.230357214454972
-0.9096249999999999,4.839281805493975,3.234039192115016
-0.909375,4.839281805493975,3.237721169775053
-0.909125,4.839281805493975,3.241403147435097
-0.9088749999999999,4.839281805493977,3.24508512509514
-0.908625,4.842948657997113,3.248767102755179
-0.9083749999999999,4.842948657997113,3.252449080415221
-0.9081250000000001,4.842948657997113,3.25613105807526
-0.907875,4.842948657997113,3.259813035735304
-0.9076249999999999,4.842948657997113,3.263495013395347
-0.907375,4.842948657997113,3.267176991055385
-0.907125,4.842948657997113,3.270858968715428
-0.9068749999999999,4.842948657997113,3.274540946375471
-0.906625,4.842948657997113,3.278222924035511
-0.9063749999999999,4.839281805493975,3.285586879355594
-0.9061250000000001,4.842948657997112,3.289268857015633
-0.905875,4.842948657997113,3.292950834675677
-0.9056249999999999,4.842948657997113,3.29663281233572
-0.905375,4.842948657997113,3.300314789995758
-0.905125,4.842948657997113,3.303996767655801
-0.9048749999999999,4.842948657997113,3.307678745315844
-0.904625,4.842948657997113,3.311360722975884
-0.9043749999999999,4.842948657997113,3.315042700635925
-0.9041250000000001,4.842948657997113,3.318724678295965
-0.903875,4.842948657997113,3.322406655956008
-0.9036249999999999,4.842948657997113,3.326088633616052
-0.903375,4.842948657997113,3.329770611276089
-0.903125,4.842948657997113,3.333452588936133
-0.9028749999999999,4.842948657997113,3.337134566596176
-0.902625,4.842948657997113,3.340816544256215
-0.9023749999999999,4.842948657997113,3.344498521916257
-0.9021250000000001,4.842948657997113,3.348180499576296
-0.901875,4.842948657997113,3.35186247723634
-0.9016249999999999,4.842948657997113,3.355544454896383
-0.901375,4.842948657997113,3.359226432556423
-0.901125,4.842948657997113,3.362908410216464
-0.9008749999999999,4.842948657997113,3.366590387876507
-0.900625,4.842948657997113,3.370272365536547
-0.9003749999999999,4.842948657997113,3.373954343196588
-0.9001250000000001,4.842948657997113,3.377636320856628
-0.899875,4.842948657997113,3.381318298516671
-0.899625,4.842948657997113,3.381318298516671
-0.899375,4.842948657997113,3.385000276176713
